"@timestamp","agent.name","event.code","process.name","process.executable","network.protocol","network.transport","source.ip","destination.ip"
"Jun 10, 2025 @ 10:45:41.559","DESKTOP-NIU0UCP","-","-","-",dns,udp,"192.168.4.100","8.8.8.8"
"Jun 10, 2025 @ 10:45:41.519","DESKTOP-NIU0UCP",1,"LocationNotificationWindows.exe","C:\Windows\System32\LocationNotificationWindows.exe","-","-","-","-"
"Jun 10, 2025 @ 10:45:41.325","DESKTOP-NIU0UCP","-","-","-",tls,tcp,"192.168.4.100","49.44.183.8"
"Jun 10, 2025 @ 10:45:41.132","DESKTOP-NIU0UCP","-","-","-",dns,udp,"192.168.4.100","8.8.8.8"
"Jun 10, 2025 @ 10:45:41.120","DESKTOP-NIU0UCP","-","-","-",tls,tcp,"192.168.4.100","18.239.153.17"
"Jun 10, 2025 @ 10:45:40.973","DESKTOP-NIU0UCP","-","-","-",tls,tcp,"192.168.4.100","40.126.17.134"
"Jun 10, 2025 @ 10:45:40.756","DESKTOP-NIU0UCP",5379,"-","-","-","-","-","-"
"Jun 10, 2025 @ 10:45:40.756","DESKTOP-NIU0UCP",5379,"-","-","-","-","-","-"
"Jun 10, 2025 @ 10:45:40.756","DESKTOP-NIU0UCP",5379,"-","-","-","-","-","-"
"Jun 10, 2025 @ 10:45:40.674","DESKTOP-NIU0UCP","-","-","-",tls,tcp,"192.168.4.100","23.212.55.66"
"Jun 10, 2025 @ 10:45:40.657","DESKTOP-NIU0UCP","-","-","-",tls,tcp,"192.168.4.100","23.212.55.66"
"Jun 10, 2025 @ 10:45:40.535","DESKTOP-NIU0UCP","-","-","-",dns,udp,"192.168.4.100","8.8.8.8"
"Jun 10, 2025 @ 10:45:40.519","DESKTOP-NIU0UCP",1,"SearchFilterHost.exe","C:\Windows\System32\SearchFilterHost.exe","-","-","-","-"
"Jun 10, 2025 @ 10:45:40.500","DESKTOP-NIU0UCP",1,"RuntimeBroker.exe","C:\Windows\System32\RuntimeBroker.exe","-","-","-","-"
"Jun 10, 2025 @ 10:45:40.412","DESKTOP-NIU0UCP","-","-","-",tls,tcp,"192.168.4.100","18.239.153.38"
"Jun 10, 2025 @ 10:45:40.139","DESKTOP-NIU0UCP",1,"SearchApp.exe","C:\Windows\SystemApps\Microsoft.Windows.Search_cw5n1h2txyewy\SearchApp.exe","-","-","-","-"
"Jun 10, 2025 @ 10:45:39.836","DESKTOP-NIU0UCP","-","-","-",tls,tcp,"192.168.4.100","18.239.153.17"
"Jun 10, 2025 @ 10:45:39.833","DESKTOP-NIU0UCP","-","-","-",tls,tcp,"192.168.4.100","52.191.219.104"
"Jun 10, 2025 @ 10:45:39.658","DESKTOP-NIU0UCP","-","-","-",tls,tcp,"192.168.4.100","4.213.25.242"
"Jun 10, 2025 @ 10:45:39.618","DESKTOP-NIU0UCP",1,"RuntimeBroker.exe","C:\Windows\System32\RuntimeBroker.exe","-","-","-","-"
"Jun 10, 2025 @ 10:45:39.568","DESKTOP-NIU0UCP","-","-","-",dns,udp,"192.168.4.100","8.8.8.8"
"Jun 10, 2025 @ 10:45:39.553","DESKTOP-NIU0UCP","-","-","-",dns,udp,"192.168.4.100","8.8.8.8"
"Jun 10, 2025 @ 10:45:39.543","DESKTOP-NIU0UCP",5379,"-","-","-","-","-","-"
"Jun 10, 2025 @ 10:45:39.543","DESKTOP-NIU0UCP",5379,"-","-","-","-","-","-"
"Jun 10, 2025 @ 10:45:39.541","DESKTOP-NIU0UCP",5379,"-","-","-","-","-","-"
"Jun 10, 2025 @ 10:45:39.540","DESKTOP-NIU0UCP",5379,"-","-","-","-","-","-"
"Jun 10, 2025 @ 10:45:39.408","DESKTOP-NIU0UCP",5379,"-","-","-","-","-","-"
"Jun 10, 2025 @ 10:45:39.408","DESKTOP-NIU0UCP",5379,"-","-","-","-","-","-"
"Jun 10, 2025 @ 10:45:39.399","DESKTOP-NIU0UCP","-","-","-",tls,tcp,"192.168.4.100","18.239.153.17"
"Jun 10, 2025 @ 10:45:39.375","DESKTOP-NIU0UCP",5379,"-","-","-","-","-","-"
"Jun 10, 2025 @ 10:45:39.374","DESKTOP-NIU0UCP",5379,"-","-","-","-","-","-"
"Jun 10, 2025 @ 10:45:39.302","DESKTOP-NIU0UCP",1,"StartMenuExperienceHost.exe","C:\Windows\SystemApps\Microsoft.Windows.StartMenuExperienceHost_cw5n1h2txyewy\StartMenuExperienceHost.exe","-","-","-","-"
"Jun 10, 2025 @ 10:45:39.204","DESKTOP-NIU0UCP","-","-","-",tls,tcp,"192.168.4.100","150.171.27.12"
"Jun 10, 2025 @ 10:45:39.157","DESKTOP-NIU0UCP","-","-","-",dns,udp,"192.168.4.100","8.8.8.8"
"Jun 10, 2025 @ 10:45:39.028","DESKTOP-NIU0UCP",5,"conhost.exe","C:\Windows\System32\conhost.exe","-","-","-","-"
"Jun 10, 2025 @ 10:45:39.024","DESKTOP-NIU0UCP","-","-","-",tls,tcp,"192.168.4.100","18.239.153.17"
"Jun 10, 2025 @ 10:45:39.023","DESKTOP-NIU0UCP",5,"WaaSMedicAgent.exe","C:\Windows\System32\WaaSMedicAgent.exe","-","-","-","-"
"Jun 10, 2025 @ 10:45:38.981","DESKTOP-NIU0UCP","-","-","-",tls,tcp,"192.168.4.100","40.126.17.134"
"Jun 10, 2025 @ 10:45:38.963","DESKTOP-NIU0UCP","-","-","-",http,tcp,"192.168.4.100","23.9.220.6"
"Jun 10, 2025 @ 10:45:38.850","DESKTOP-NIU0UCP","-","-","-",http,tcp,"192.168.4.100","104.71.117.203"
"Jun 10, 2025 @ 10:45:38.848","DESKTOP-NIU0UCP","-","-","-",tls,tcp,"192.168.4.100","23.193.41.101"
"Jun 10, 2025 @ 10:45:38.835","DESKTOP-NIU0UCP",5379,"-","-","-","-","-","-"
"Jun 10, 2025 @ 10:45:38.834","DESKTOP-NIU0UCP",5379,"-","-","-","-","-","-"
"Jun 10, 2025 @ 10:45:38.834","DESKTOP-NIU0UCP",5379,"-","-","-","-","-","-"
"Jun 10, 2025 @ 10:45:38.829","DESKTOP-NIU0UCP",1,"dllhost.exe","C:\Windows\System32\dllhost.exe","-","-","-","-"
"Jun 10, 2025 @ 10:45:38.808","DESKTOP-NIU0UCP","-","-","-",dns,udp,"192.168.4.100","8.8.8.8"
"Jun 10, 2025 @ 10:45:38.804","DESKTOP-NIU0UCP","-","-","-",dns,udp,"192.168.4.100","8.8.8.8"
"Jun 10, 2025 @ 10:45:38.794","DESKTOP-NIU0UCP","-","-","-",tls,tcp,"192.168.4.100","20.42.65.85"
